# General
## Title
### Hydropower Generation (Run Of River); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2007-12-31-0000
## End date
### 2008-12-22-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL00,AT00,BA00,BE00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,HU00,IE00,ITCA,ITCN,ITCS,ITN1,ITSA,ITSI,LT00,LU00,ME00,NL00,NOM1,NON1,NOS1,NOS2,NOS3,PL00,PT00,RO00,RS00,SI00,SK00,TR00,UK00
2007-12-31,0.0,223473.17172168515,1693.179504105903,5848.125639641754,37525.23272364652,179155.1076677072,18682.60588487089,265729.38750843384,109106.9198547895,235482.1365822241,772720.217436332,1266.8968553859036,26370.60552660654,3163.284104139658,8684.882195238144,3354.585209173666,2786.868198721113,24067.733326443424,178371.70920407583,832.309584744121,1732.122226887183,7043.527659365485,2019.772108450317,2135.0254231654576,2360.318257785267,30013.33722920857,27730.319953655395,185232.1854883896,114333.47357357976,9998.772255954857,28491.908758854257,4756.621792107638,203558.2463884812,167512.54880034574,29935.826485194004,56652.04360529392,109282.81500803478,90922.6403117076
2008-01-07,0.0,234392.528574458,1621.490993623525,5708.3887258716895,37558.66829080966,176087.21488439688,19069.95079759804,274456.71724662365,114769.68322911373,232484.5500561964,812654.200993625,1266.8968553859036,27047.503129549168,3517.8236976582434,10666.917787058575,3253.656780215495,3408.2105986350875,26139.24249843745,184461.0587780175,1138.6707369401322,1888.859222127369,7115.629743657817,2124.1710205064687,2010.6359481482805,2368.0246023794098,25682.134500922188,25375.3558060346,189061.1496639884,115622.38452341076,9415.464278852478,34192.99823205771,6274.324684451992,190582.4192594718,167981.74479439098,31016.315841957723,57092.99084948098,108315.2008583436,89632.21804183885
2008-01-14,0.0,252568.455381638,1533.0817504145,6054.062784566496,37908.79482497066,173838.0548140408,20524.948968158475,296454.19280840555,111890.08823171152,269285.8368528543,850284.3521600118,1266.8968553859036,24168.31047972105,3705.563737751145,11458.423465320697,3072.579522161805,4301.649814515763,27677.527838234622,191005.4359749215,1344.781480149385,1953.52761305538,10005.538864472212,2843.2278736581347,1956.190263079843,3517.3297931675265,31020.45079703219,26158.59171264989,210835.8278316616,120141.75995633664,13181.321398382648,38212.39406783738,6467.448689386805,191144.4264571211,163781.50317785918,35994.05544959388,69941.49995295775,108880.51052632372,90724.49562669218
2008-01-21,0.0,247843.98001903712,1407.822384387077,5762.515199346866,38664.2941178065,173070.24126600724,21456.80760927364,313104.6605993645,116036.46130117169,260627.33911860388,811854.4743233998,1266.8968553859036,21821.135472021484,3894.6861646675743,11330.575196038557,3467.8551826505245,3128.01127719278,26998.96579463192,186881.1030993507,1210.1308666002335,1918.1499304943584,11766.998977861123,2769.582584640794,1655.951536439839,3588.9591443933664,32857.24768921863,24886.96040267989,214019.7431601825,121984.0383126709,13211.818357619164,41035.11886013489,4931.901797759289,189878.6318855254,160055.7688135011,32768.31551711508,73982.69288266746,116620.4133918728,96944.21181586216
2008-01-28,0.0,238305.4087036313,1388.9931381455783,5430.895998856813,37443.11575494023,170752.36747657164,21980.44062661125,328668.4617719746,114884.26137733702,273905.0196538746,793410.4493294592,1287.9866769229195,21503.078199319712,4261.503032168607,12250.246212612694,3597.800299593627,3802.7930155700506,27654.19297754684,186340.7992704781,1205.6078659177113,2129.106848277566,12191.984768863773,2828.8806434076505,1536.8720370352405,3566.822871596544,31979.930519030844,28032.08724104949,212793.0832719912,124142.41315637936,13097.559412792749,41948.12070808454,5169.425659469251,178108.81280788634,151512.83556292736,34971.25592383628,69738.98139142302,152014.2141325905,100713.7326417506
2008-02-04,0.0,235202.8248767508,1435.9420394033064,5940.291993999795,34912.05429872373,164569.51643512095,22039.19867351605,321265.1335211684,116150.7317995836,271031.43939049094,759785.8019997635,1293.3468296737667,21092.0721884324,4545.446902470708,12052.224740267084,3836.522326630331,3691.273034510964,29135.5511496021,187800.06416620023,1030.2373554894143,2332.662203499113,12600.193544361116,2820.316872419489,1735.0541103103942,3464.288637379628,35005.80497107645,26410.68125342918,214630.1595741086,127436.88730858504,13242.115874408337,42584.29837591401,3853.686277797966,186899.14496685367,152791.20495261232,35258.61593051638,70879.62232701603,155385.15817090904,99143.74676211624
2008-02-11,0.0,217384.6441512246,1269.143002593065,4976.480231537619,28109.283458960435,148542.35914407103,19606.84802980076,276323.6509001955,118289.9108133888,271668.1981588287,662719.8811181214,1297.7412243593203,20022.33673091726,4210.0727272666045,10686.951788265593,3746.077959301396,2827.4176060479726,28353.011629958484,181409.47873342747,1019.2971657889284,2477.2906870324373,13660.029322275132,2723.1879796311587,1585.8396695151555,2966.041006018581,31894.231517186447,33270.64563809323,217612.79749240496,118520.5259855415,11016.486329194631,40599.73938797981,3465.137459879728,172595.8625333799,142159.0903982109,29709.35324659242,63513.34293700317,203905.140699728,85015.29538521152
2008-02-18,0.0,213399.242601758,1229.3594584585296,4383.012930580983,21615.625968815308,138111.3684007469,19932.63389819619,281153.8798782304,113736.27909397622,262068.8306600118,633255.2883473048,1307.514943513071,20032.53081578087,3712.8325256718776,9603.276291746672,3126.1468301057143,2443.767125630592,27737.906887231737,174019.90167115643,1039.261377370554,2516.700329825079,12529.658933556886,2381.493206716212,1573.736802479744,2735.682628640937,55810.18764017439,33681.74114585558,218764.4963109925,128979.46882112425,15489.875691494752,39764.61623238444,4514.620534692707,169832.43906466544,133840.52699550107,27214.52216733485,69392.09916059437,219429.40665059807,84029.53938102463
2008-02-25,0.0,245182.52783116527,1285.5303031971516,5070.126765983176,19951.043878257617,136903.5693603719,22492.454663503875,304190.7973472343,118156.6022299143,262502.2178618011,633325.5500349604,1305.595874105766,21038.82635794348,3127.2930928050955,9129.878517205774,2831.698998381863,2492.987806642667,27163.423144456807,177353.3232424084,912.478085916178,2516.700329825079,12545.96204557408,2499.710149325628,1753.7940809602376,2757.6918118913904,44023.804345657285,27791.498744639903,222285.7693024348,133226.32667623527,13647.282869116874,42659.18679822698,3756.268146705296,205249.088132667,136832.5526333063,26246.94311020563,72855.5694569503,220525.4858592736,88119.64307111216
2008-03-03,0.0,236824.1796151956,1559.551325373228,5041.948017736124,21065.68864537593,145697.69296258534,20778.152512597007,303339.9722659393,114101.52330923398,257795.98339241344,640377.0309473004,1307.514943513071,22147.018409142944,3071.6826272719004,9078.47762818662,3064.1094855805377,4706.12555990017,29335.517494231783,179973.66911460206,929.6896126960075,2507.556542607334,12229.482703309528,2707.544752958986,1966.7844599165749,2671.997079411772,34160.18218578135,29575.525044668488,224375.3116429632,133999.81651445542,10735.541686212426,42246.88939817152,3520.7797044912686,232934.1863781236,145035.37519242553,32991.47893391924,72251.73998565061,263218.47553335293,88529.17270383678
2008-03-10,0.0,281241.54295610794,1381.6454766141512,6586.745245574258,22094.20352593291,163916.5346435917,21149.598343104844,335839.96196027705,115454.39329695865,265290.54499711626,760895.8623945218,1307.514943513071,23534.34034286522,3136.7304479814684,9785.143940479198,2801.8044259473027,4944.441930225714,29243.209220572782,189829.2685580796,806.7969135818374,2508.944988315778,11859.057507859789,2820.614677263968,2038.0657219276984,3035.628269347816,37691.164660546616,26079.66541850868,228719.1159581509,134276.63454695258,9957.180865129323,41572.6413699127,3508.9483050046624,230905.1146049178,146600.5198535615,38052.13293609489,69876.69540164512,278801.91779794183,92106.04050883991
2008-03-17,0.0,293229.5883701947,2326.6048569488366,6767.642233366328,22925.28017364904,175744.7234690337,21377.64529319568,331949.9565447635,108821.85498029068,262302.44278105587,852294.1396344528,1308.738830045415,30432.79413302696,3451.699788726778,9339.927071112104,2667.2017341625265,7706.721790298062,37058.29797505434,192338.2701010155,799.5370028132528,2368.430340191723,11870.63633217461,3073.3012331406594,2464.6641975996654,3617.801196903436,28134.303934523807,24665.88828392719,222230.15223171003,123383.62436681653,10162.128881726554,41345.044326037205,3634.059103790398,229529.2350355846,154796.88848742162,52204.30609480406,69415.71494898548,278840.8527838792,88526.45758993854
2008-03-24,0.0,285499.5456075266,2178.1958588313632,6843.963638725729,22128.96061748125,175337.027620295,21017.15216152208,330683.0619682353,111328.09093433915,262880.30244491284,863119.2710533555,1387.9037545147355,28168.35003844368,3653.6727185116383,9776.377360911085,2961.0899406255344,7578.579073386878,38365.224447738285,194439.5157263221,746.4268599558817,2490.9428254292866,11771.092694669323,3079.6841976328137,3183.427161223617,3641.439048981872,28004.55694986584,24813.240358943724,220463.4087642968,117172.32141049694,10089.934468150554,40793.6232045603,3449.4927155274654,230907.2145966515,153676.98901423608,55393.00110943279,70360.00350796552,264245.6375865661,88954.72801871703
2008-03-31,0.0,298329.1962986606,1881.592798346628,7003.879571212952,24144.38600669912,191348.07638794195,22309.02684933265,333669.0230193149,111805.19275305816,260082.67787858608,884007.4291172418,1419.0376568927154,25091.064031120728,4097.028692303317,9003.920474862303,3159.472551978096,6900.356735898007,38222.72099918643,215833.7442190518,652.8929308424395,2422.3772734210884,11015.988740007944,3170.0505670244984,3231.4142896059984,3663.60888561756,33979.13782360829,24426.976589148268,221403.2223320354,121215.07107052402,10393.060235651572,39306.379002482216,2388.8101015090183,220445.82415552603,146758.3146483741,47918.72356128784,68348.25710179393,289871.6781156995,88631.55108758093
