# General
## Title
### Hydropower Inflow (Reservoir); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2007-12-31-0000
## End date
### 2008-12-22-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL00,AT00,BA00,BG00,CH00,CZ00,DE00,ES00,FI00,FR00,GR00,HR00,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,ME00,MK00,NOM1,NON1,NOS1,NOS2,NOS3,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SK00,TR00
2007-12-31,83627.44964024892,664.1990803356924,136840.4856975995,76689.66372809191,142823.53450324747,23046.81437969478,8808.58601643601,197402.0967208256,196425.3541172545,221605.7880730158,70285.30129267763,70126.88527893515,24657.92508654872,20385.310627916824,35287.65724766149,174376.51281558318,7768.4341625090865,6939.794953769518,365.1238398111189,20944.355998276056,25427.568859606006,45503.80488913774,167434.3373450667,116748.32617221869,324549.86187776265,0.0,526.8363216058239,107550.7342061618,88298.03253846033,33054.38459572309,110472.15858291832,250358.6326978476,179423.54639489893,34398.9076588736,1165.61248879601,725603.386663983
2008-01-07,76688.5383991133,752.233993053367,130008.61984638884,69008.55083400912,139819.27968522135,22410.513827885738,9162.717357964948,197773.26058159603,203386.8776127271,220926.60717752503,67797.28860409728,70496.83647435841,25770.530820513828,22200.31220984616,35652.06255254632,179196.54802474333,7736.698023581378,7778.649975530886,365.2718041427405,27639.074050067527,25231.756578139644,47426.76466665063,159111.95559018457,116764.20198426727,344596.7366923159,0.0,606.2960740983372,116824.45829171412,91771.54409080604,35583.28235609613,115707.35118135114,269638.3574193314,193854.07359796847,36437.656204304,1277.3655928297233,737342.2417554804
2008-01-14,72938.34733165352,2955.93704125594,125624.9012277416,61700.518336140834,129753.49712694153,22548.6189273162,7266.010410246778,206178.2567121165,243381.60844109408,222019.00995514647,64863.32427621703,65485.30992194101,24333.60046558795,24757.83930517115,35580.61465692781,178731.63292272002,7637.60184299818,7876.783235000186,390.19550482609696,26314.945940395293,25328.33811139648,59946.64132644,152802.0806708223,114861.90422284456,657116.2802155295,36835.43629405698,708.6149525004554,119132.57975724472,85292.0222308378,37882.424013589,117972.1548483852,335432.9387366349,236014.88080310496,38094.77391096115,1425.8916431726352,779972.5807154526
2008-01-21,61509.18736846504,4803.951369543715,116700.23174504378,56201.28855342481,113573.34230765286,23481.854150592422,7332.47322156386,200026.73348868664,208414.9048166416,237591.0265877946,54970.76454235495,57043.9240254696,24319.79630544674,20091.157917485423,35266.66341467895,171124.7223991972,7618.049710560598,7022.371240912131,593.2548178647293,21263.962765266788,25006.50751950266,77074.59707797227,142256.97216227968,111789.1330177723,475938.0784288548,37963.12622880871,883.6393131296448,105576.88404863547,80005.6410649042,40225.77035229716,94229.85485497845,281904.28299573006,228241.33827510508,39307.74879523121,1472.5269310505391,771277.940690506
2008-01-28,57748.813185010426,5509.232720759324,114106.68749028353,46925.45146825735,93152.96316122806,22128.446573024685,8740.253144227047,215570.5413557269,200651.07550083875,244073.82044222383,51394.86279120025,60305.17438347772,23363.53963663268,23265.86492201628,35158.61347504638,169361.43225873762,7422.340017573386,5867.117145958217,725.4719486784162,18410.75325040076,24221.10957209386,82495.32708187947,150173.3923355887,113267.09416368554,466826.7422211173,31115.569209313653,826.8250008342178,107382.88645904211,75429.87086762517,40979.58585322745,90196.23591255335,302138.96653907467,231726.1840545147,39135.03088932348,1396.0567532753305,797973.4687716743
2008-02-04,60246.745742674735,4766.898896594765,115952.15666734413,33925.35509564073,91277.30265212015,19976.443488195506,9481.116188544373,204958.66039056703,190658.58351737267,227860.4699485009,54854.10578982272,54308.64397677106,25216.97930260228,22703.138747116103,35350.59941121566,163031.32481333657,7355.917181143684,5049.925363356206,984.5002967088782,20058.94304566359,24281.46511283252,73419.18533981724,129672.09865577988,112896.5183017576,601296.080757862,2925.740714101172,867.1477193303978,99533.85337761504,70251.01951617961,40795.93998562595,79272.60391417315,307541.71474755765,224679.9863523777,35792.27225404465,1419.6159312524508,775015.0130485345
2008-02-11,57140.32896964956,1923.6118416284096,108965.73609940385,26318.54302661057,116202.69668662504,18923.556977593755,9706.739733154544,206320.12873582888,171543.78817660816,237890.5070893577,52926.35536175359,50304.30856668966,25050.055393098915,18347.6087075194,35162.18262038136,163302.1391074004,7350.174181679847,4607.669147516949,1063.4587817666516,11385.60385418228,23423.462804426817,78855.95312755629,172339.69200690705,100723.54504382056,251057.0030783525,0.0,798.2296788296302,97800.02492468504,80089.16874919304,39357.07505069352,80490.84268224938,285280.37590562506,202584.6924438716,33608.105434502024,1217.9397354053672,790349.1237252
2008-02-18,56323.4255801786,2780.016035007532,102017.15888660029,22994.877162214823,92465.03041385076,16462.026053468762,9822.66028512795,209205.55372177964,174234.53061831836,163022.83348033892,49961.5798208158,47321.537873202666,24479.7759908734,15589.828617834082,35206.62044667914,161762.6317358834,7298.711224998349,4509.010248706592,1020.2208221687292,15105.306045546176,23107.814950936856,175625.7372673924,196628.3949008901,114390.6981105982,651492.305462028,105111.08132765409,927.4434506906364,125351.25606648315,69715.92584574872,35965.50683330392,93089.6199118862,296205.9203157688,209268.977933606,34153.752029421994,1348.479285108957,795808.6459528807
2008-02-25,57844.62419314499,6381.081069796913,98038.41634831256,28358.85215337918,71199.29285902846,18348.713295218928,9319.188025260431,210606.37443183744,162388.11898963162,170238.55336910763,47887.38426134115,43217.4871260966,23647.144627055408,14685.40173982876,35278.5131044675,156734.9832767491,7097.316087363898,3796.205977261443,1060.5740468244253,16628.981047901918,23388.24512287122,111544.12377547158,148018.40742709345,117719.35430568276,722964.82910976,31711.56931977384,1150.5359376738577,112678.50229266514,64519.205519252544,32952.29090841972,75346.92653275352,289048.0050507813,237596.3126735516,34769.68429675848,1411.743762531106,777678.6276258968
2008-03-03,62117.23076593991,7684.097783725534,109902.04887804275,37508.88384369019,69274.71999321852,16932.967905196838,9973.377559117502,217773.82098133865,166061.53765858087,210654.35185382803,47980.39448965514,59173.41294186309,24012.689505290746,20451.129053886587,35219.809574573585,152480.10772084852,7775.210905967646,3815.821392896914,985.0745910231876,18151.78528965304,24290.23690519493,97839.2100159427,127427.73157122184,116418.49939024086,410386.1060024636,5175.652373045966,1093.1592507718697,104436.41645712068,59476.62904003228,30622.450700807003,74197.55120029973,324266.54699130857,260839.85939671425,36488.90866772964,1333.1670158749218,767027.9963220585
