# General
## Title
### Hydropower Generation (Pondage); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2007-12-31-0000
## End date
### 2008-12-22-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT00,BA00,GR00,HR00,LV00,PT00,SI00,SK00
2007-12-31,51410.71323494962,14122.099502124627,1188.5803599983344,29878.45695368604,44298.65576530218,4209.52827897201,35000.32740565062,12156.857660950962
2008-01-07,54419.390922601706,13359.251796809862,1197.8228136975576,29925.25159656328,39567.60384231744,4762.97564172516,35188.53562099486,12497.5945096518
2008-01-14,55440.28740769355,12283.564274442691,1110.2931867386642,30265.056454865866,50887.86740811703,4884.838422662546,37961.010038355074,13280.608453986606
2008-01-21,54966.97848810286,12075.502895340778,966.3516213155368,28632.766113066573,70032.61760039217,4335.339001424475,32933.307067482136,13123.453849844169
2008-01-28,51518.89955751764,11379.868534248457,852.2460538454702,29071.27216709881,90306.63219453295,4760.438108247202,36244.31543684972,12987.954584701389
2008-02-04,46929.4143494673,11640.402923872649,1003.2358035533304,27615.89422878861,91830.53284300248,3918.76664067481,37263.94593725367,13778.703044380409
2008-02-11,37839.38630501014,10669.470613802996,942.9845388345676,25069.23403572633,87402.84758462268,4119.263774863439,32389.526449621226,12422.897069172705
2008-02-18,39710.55950395927,10282.036070233711,844.4908671634403,24169.850853975964,89766.97635836236,6742.006489506378,29007.49661686144,13252.878043263529
2008-02-25,49985.38099117453,9591.15292115345,817.7569931789089,24695.80953416601,108607.33953373528,5829.578365670243,27248.84425204852,14743.296375255204
2008-03-03,49316.4298007372,11956.50186346359,789.2990208247468,27088.471164743296,106303.14519548992,4633.814342304509,37029.22022518692,14038.892985753935
2008-03-10,58647.30369861092,10982.417576921576,779.4006893118523,27401.202903435595,117815.5263719808,4542.942970729174,39667.3641111209,14496.249184260814
2008-03-17,52026.6282230881,17503.2982574919,754.9977109141773,31095.036860460925,119176.75693068324,5124.167860160114,52904.0659970878,13385.807375197684
2008-03-24,48723.18645726879,17082.725910756675,790.4066126506146,29831.486881516805,108352.8249207884,5001.001909989755,54585.118526571285,14018.442344555724
2008-03-31,56889.74871699643,16716.852094247934,967.252967183119,29832.93092679364,129529.22505861554,4198.321921652733,52382.85156149364,14557.895635452542
2008-04-07,64968.73533780979,16127.18053503113,907.4273392814082,32541.54561112148,129161.03251398572,9101.94106968579,59134.475180706606,15467.50457700434
